name,N,chi2,chi2N,huber_mond,medabs_mond
NGC0055,19,77.91756443027214,4.100924443698534,1.7999137503925404,1.9508250006565593
NGC0100,20,37.92865481656449,1.8964327408282244,0.9005156311647214,1.297811621554625
NGC0247,25,36.9890876240615,1.4795635049624598,0.7377104161157828,1.2734835000376639
NGC0289,28,147.08039366570122,5.252871202346472,2.0961371248014475,2.1338115438176652
NGC0300,25,13.480377715431489,0.5392151086172595,0.26960335333666197,0.633586473457678
NGC0801,13,173.3411731796897,13.333936398437668,3.866680398077174,3.833126101268344
NGC0891,18,279.69155647172954,15.538419803984974,4.072699491240032,3.017628028349846
NGC1003,36,88.97867457990233,2.4716298494417313,1.0847317545596487,1.3054553248513359
NGC1090,22,173.78389927981434,7.89926814908247,2.841576153246439,2.89687337471548
NGC1705,14,4.788788431538847,0.34205631653848906,0.17102815826924453,0.6070289278602559
NGC2366,25,41.50334569482237,1.6601338277928948,0.8196518686914217,1.2182777101159556
NGC2403,71,131.49922874445727,1.8521018133022151,0.8322614751049114,1.0631471665091514
NGC2683,11,61.41344764650855,5.583040695137141,2.228845215842255,2.2879990647297466
NGC2841,50,4.035135038334459,0.08070270076668917,0.040351350383344586,0.1872000883858184
NGC2903,33,342.3643399722167,10.374676968855052,2.9410472020228204,2.239154668875847
NGC2915,30,39.01888369954167,1.300629456651389,0.6047480992004691,0.9738959382855867
NGC2955,23,185.14777078249847,8.049903077499934,2.791900164990264,2.624956827941865
NGC2976,25,61.917886576491206,2.4767154630596484,1.1912522033783195,1.5663995864037774
NGC2998,11,47.39189626838716,4.308354206217015,1.7302365950114649,2.3049235350740287
NGC3109,24,3.4311241939347257,0.14296350808061356,0.07148175404030678,0.31601339609873424
NGC3198,41,166.2557450733291,4.055018172520223,1.7830434612407078,1.9964422106257103
NGC3521,40,267.78427969460574,6.694606992365143,2.4767107220832294,2.5146034143173766
NGC3726,12,146.33222208667502,12.194351840556251,3.612568854478463,3.606817857053226
NGC3741,21,2.895081544898459,0.13786102594754568,0.06893051297377284,0.2043642078053205
NGC3769,12,70.23377838946624,5.8528148657888535,2.2044062550138785,2.1089202758065375
NGC3877,12,113.117986509777,9.42649887581475,2.9416711412799983,3.236409631608267
NGC3893,10,44.226544653015786,4.422654465301578,1.7868082518233994,1.8098874090759154
NGC3917,16,39.690250008397385,2.4806406255248366,1.18593299742142,1.6187997527358768
NGC3949,7,58.14667754408621,8.306668220583743,2.808943092742338,3.105764946836346
NGC3953,8,53.30726480840005,6.663408101050006,2.515625812408695,2.738106558991142
NGC3972,10,17.529475777127534,1.7529475777127534,0.8432080889562827,1.0724510401580314
NGC3992,9,22.112424956089622,2.45693610623218,1.178870167150599,1.6039053944098252
NGC4010,11,58.13413168501341,5.284921062273946,2.091747345623544,2.056823449318175
NGC4013,36,225.69164500191332,6.269212361164259,2.3502564400894608,2.426667109722743
NGC4051,7,84.24754497897071,12.035363568424387,3.6608287119592333,3.217100368656856
NGC4085,7,93.99542302803825,13.427917575434035,3.9203815058497864,3.3667731355194643
NGC4088,12,249.66396329461685,20.805330274551405,5.146797909278894,4.609196610550573
NGC4100,24,76.76938874867339,3.1987245311947246,1.449905281869029,1.701636233217433
NGC4138,7,22.53104059429021,3.2187200848986017,1.4017379089272386,1.536155947338481
NGC4157,17,173.98944228032758,10.234673075313387,3.2908053690680945,3.277822958356732
NGC4183,22,55.8174316414701,2.5371559837031863,1.1786401617606332,1.7167387506899345
NGC4214,14,3.554391258062234,0.25388508986158814,0.12694254493079407,0.41585352444602924
NGC4217,18,302.4829647160709,16.80460915089283,4.155347020032158,2.934489599045693
NGC4559,32,227.3658504368201,7.105182826150628,2.6406212990743083,2.5447345330500957
NGC5005,17,87.54244831529238,5.1495557832524925,2.124903992497526,2.248916179369913
NGC5033,22,85.90123383413543,3.9046015379152466,1.5510313111357048,1.6459326678847561
NGC5055,28,442.204863228034,15.793030829572643,4.373201807718266,3.5762917527411635
NGC5371,18,329.1782087388257,18.28767826326809,4.582796740177972,4.693436508980215
NGC5585,21,64.17733109574861,3.056063385511839,1.3138713406302964,1.5764914365071372
NGC5907,19,95.52433267230927,5.02759645643733,2.0407744437414017,2.309883745563144
NGC5985,33,24.26061958355009,0.7351702904106088,0.360131619102445,0.34226216979958046
NGC6015,43,76.80719852039448,1.7862139190789414,0.8284878199050456,1.0833962590396962
NGC6195,21,232.30753448799592,11.062263547047426,3.487052902857098,3.4447851799512312
NGC6503,31,82.99486415024889,2.6772536822660933,1.1720165881575342,1.3400303341360753
NGC6674,15,21.992870319581712,1.4661913546387808,0.7198921193953312,1.119978769678325
NGC6946,56,471.4847101576268,8.419369824243336,2.9533062487875603,2.844274632988749
NGC7331,36,510.59840656355505,14.183289071209863,3.9687492386299166,3.659119155099362
NGC7793,37,83.76991406513392,2.264051731490106,1.0464771636228414,1.371933747030416
NGC7814,17,19.04544610985382,1.1203203594031659,0.5155797588869555,0.6146260998593416
UGC00128,21,24.34008791507832,1.1590518054799201,0.5753877005090805,1.0555518703281368
UGC00191,8,5.5711170937910275,0.6963896367238784,0.3481948183619392,0.7163851226543227
UGC00731,12,7.052697782831114,0.5877248152359261,0.29386240761796306,0.7085101997464542
UGC01230,10,16.888226388633072,1.6888226388633072,0.7313030010676606,0.6852304733175647
UGC01281,23,10.300836684125425,0.4478624645271924,0.2239312322635962,0.6335712456629511
UGC02259,8,1.7516867917536112,0.2189608489692014,0.1094804244846007,0.22543046926347654
UGC02455,8,203.2107775044335,25.40134718805419,5.731543179154716,5.226222636661294
UGC02487,17,0.9078845390820407,0.05340497288717887,0.026702486443589434,0.15817030442104033
UGC02885,18,47.31834949848026,2.6287971943600144,1.239818948485899,1.6068373824887485
UGC02916,39,240.0425137838305,6.154936250867449,2.3314122943212894,2.2840749589709004
UGC02953,104,283.93009190844634,2.730097037581215,1.230909470687395,1.6437874180903922
UGC03205,45,86.72704522742251,1.9272676717205002,0.913047343393841,1.4429262406284347
UGC03546,30,219.31193368654604,7.310397789551534,2.6264738786252027,2.5389652698862877
UGC03580,44,539.2090951776827,12.254752163129153,3.407915938348111,3.1978740025640766
UGC04278,22,15.3274877069955,0.6967039866816136,0.3483519791191363,0.6300255963593705
UGC04305,21,190.46849729676234,9.069928442702968,2.9245037328016537,3.2480812527995364
UGC04325,8,2.968385100454348,0.3710481375567935,0.18552406877839675,0.3962100254310643
