name,N,chi2,chi2N,huber_ilg,medabs_ilg
NGC3741,21,91.53470963824927,4.358795697059489,1.8110689132704698,2.222620737662696
NGC3769,12,20.720930921194032,1.726744243432836,0.8366031425068794,1.4185968626305336
NGC3877,12,205.74268516423075,17.145223763685895,3.7411368750645573,3.8508631562226805
NGC3893,10,51.91296724158546,5.191296724158546,2.031474468363731,2.2142051806682703
NGC3917,16,27.980603509526638,1.7487877193454149,0.845228049040379,1.2907925862421537
NGC3949,7,19.369519131175895,2.7670741615965566,1.22615693111775,1.927246789351749
NGC3953,8,182.51923650863247,22.81490456357906,5.013974824899102,5.266519259063937
NGC3972,10,8.711140171309976,0.8711140171309977,0.428781872009258,0.719904675608313
NGC3992,9,94.79161517711266,10.532401686345851,3.144013612250813,3.041582074916172
NGC4010,11,11.347294982200351,1.0315722711091229,0.5126812554604293,0.9474846848966001
NGC4013,36,449.6667968684403,12.490744357456675,3.3111509676592696,3.4059143124497506
NGC4051,7,127.98246944561632,18.28320992080233,4.03515223154294,3.907828112095189
NGC4085,7,20.843407073595436,2.9776295819422054,1.3187688082711335,1.6379998007743288
NGC4088,12,492.38691853304795,41.03224321108733,7.152608030644097,6.830847381354902
NGC4100,24,147.1893010911133,6.132887545463054,2.2376099217818064,2.4908019390135285
NGC4138,7,16.92629869407477,2.41804267058211,1.086460838626807,1.4530497175371828
NGC4157,17,358.0541004106419,21.062005906508347,4.7210344104821695,3.868424502321575
NGC4183,22,19.322038240484588,0.8782744654765722,0.4344574147659511,0.8242685284291604
NGC4214,14,90.22378830792395,6.4445563077088535,2.488678913622863,2.5763089460739628
NGC4217,18,373.5024974744666,20.750138748581477,5.153816960594262,4.365655655404441
NGC4559,32,104.93695510934369,3.27927984716699,1.3998742381333107,1.558492563904176
NGC5005,17,162.84967384904786,9.579392579355757,2.7604392429808664,2.725738821124288
NGC5033,22,103.43170798148218,4.701441271885553,1.6903327457768902,1.5621243620721552
NGC5055,28,527.7792036262964,18.84925727236773,4.178696180568227,3.539763572034191
NGC5371,18,845.3456688249053,46.96364826805029,7.612362584785681,6.910748531682062
NGC5585,21,18.172714697569162,0.8653673665509125,0.43268368327545625,0.9350410801587544
NGC5907,19,241.43267598605735,12.706982946634596,3.4319562915977078,3.351003033592789
NGC5985,33,108.94648978526648,3.3014087813717117,1.4179842393660482,1.7436878342685598
NGC6015,43,87.7003852979045,2.039543844137314,0.9000428837373466,1.203886306251788
NGC6195,21,900.4706260789474,42.879553622807016,7.487007116170123,6.670390976664439
NGC6503,31,14.224967013771177,0.458869903670038,0.22632450199861123,0.384985289434931
NGC6674,15,58.36618737344508,3.891079158229672,1.4258047182385005,1.346369960457908
NGC6946,56,739.2196994569188,13.200351776016406,3.686596451445627,3.738285611029964
NGC7331,36,1232.7067255853735,34.2418534884826,6.597092275982805,5.830624374353656
NGC7793,37,33.478497316222146,0.9048242517897878,0.4524121258948939,0.9357307480290307
NGC7814,17,31.876982724196047,1.8751166308350615,0.8878379815200012,1.4565962761595606
UGC00128,21,58.67709697423141,2.7941474749634003,1.2400007649067197,1.5032450741366583
UGC00191,8,25.120157223084426,3.1400196528855533,1.3791226906815175,1.7654277126508142
UGC00731,12,56.125317640244575,4.677109803353715,1.8475446083374205,2.1772779532121143
UGC01230,10,14.908911316466321,1.4908911316466322,0.6809100627917186,0.8874518804707628
UGC01281,23,57.652683984653905,2.5066384341153873,1.154447993680729,1.6956905191012956
UGC02259,8,53.21644896368632,6.65205612046079,2.512577945736039,2.4427965339229227
UGC02455,8,28.68472692675108,3.585590865843885,1.5345657211730006,1.9576434692580125
UGC02487,17,74.4624078986513,4.380141641097135,1.5414930662388868,1.2331482228734394
UGC02885,18,176.40252324089056,9.800140180049475,2.732833816493862,2.5114201485487584
UGC02916,39,446.8477054666187,11.457633473503044,3.4885697615437485,3.7212138528499565
UGC02953,104,707.0732779980696,6.798781519212207,2.060430769931295,1.9266185441322954
UGC03205,45,317.9688446380629,7.065974325290286,2.26033749071625,2.5860030713014184
UGC03546,30,211.64700040018914,7.054900013339638,2.068665933481039,1.373867327655132
UGC03580,44,48.56071545377716,1.103652623949481,0.5487698378081138,0.9853444202658734
UGC04278,22,66.37431674965188,3.017014397711449,1.3361254057915377,1.506550502231375
UGC04305,21,12.057242243012439,0.5741543925244018,0.2870771962622009,0.7678894860922502
UGC04325,8,58.66893027909869,7.333616284887336,2.645250724660513,2.4215426963411
UGC04483,8,8.739186917553674,1.0923983646942093,0.5461991823471046,1.1264742195395583
UGC04499,9,10.889805751163031,1.2099784167958925,0.60038167321776,1.110242468510628
UGC05005,11,3.4420877576657345,0.31291706887870313,0.15645853443935157,0.22771378686899968
UGC05253,63,369.7448062599247,5.868965178728963,1.943474167541918,1.908153595954239
UGC05716,12,43.19404875784904,3.5995040631540864,1.6190991138648048,1.9658029216934447
UGC05721,22,193.11857137455507,8.778116880661594,2.9815946739190093,2.9936148816218937
UGC05750,10,3.457050828172991,0.34570508281729906,0.17285254140864953,0.39538967928754537
UGC05764,10,65.47559131453146,6.547559131453146,2.4881734080981155,2.682238903648622
UGC05829,11,19.496118589262842,1.772374417205713,0.8722260933845657,1.3969301398575227
UGC05918,8,20.825600850610897,2.603200106326362,1.2470765476093912,1.6612187658746451
UGC05986,15,49.48647331939313,3.299098221292875,1.5073924566838852,1.8457129035373732
UGC06399,9,24.187423624870174,2.687491513874464,1.2613756263842228,1.586067316075406
UGC06446,17,85.60446916105606,5.0355570094738855,2.017781590364613,2.3792636519306205
UGC06614,13,204.68125862618683,15.744712202014371,3.547983671738483,2.2189938844874253
UGC06628,7,13.956806041220847,1.993829434460121,0.8476087466627324,0.8428829316337012
UGC06667,8,79.92748627411783,9.990935784264728,3.326389377839341,3.196246129833195
UGC06786,41,54.023519225519415,1.3176468103785224,0.6400020572394255,1.03230068029915
UGC06787,63,142.19454376067264,2.257056250169407,1.0380611506618038,1.4287978831384698
UGC06818,8,6.388707264853469,0.7985884081066836,0.39923212194707103,0.709286344258307
