g_bar,g_obs
1.5595727751647492e-11,1.7363789198103215e-11
1.4722960539500845e-11,1.6124641143966668e-11
1.3339213930391833e-11,1.547704541871749e-11
1.1788380327596271e-11,1.557263216368855e-11
1.0650950529271981e-11,1.514939262508932e-11
9.592245039604562e-12,1.5351309746088856e-11
8.63461697457521e-12,1.594356832529224e-11
7.817303467878374e-12,1.6094492221728672e-11
7.0982277410726125e-12,1.566677784185534e-11
6.578817012107277e-12,1.5608810696343875e-11
6.139060512229664e-12,1.5927414128321453e-11
5.806198307789803e-12,1.5996152762094205e-11
5.570197047448647e-12,1.5423697102649914e-11
5.376936322163345e-12,1.516669208188784e-11
5.1403384610306984e-12,1.4838555543553922e-11
4.9485068717973535e-12,1.4117792687203924e-11
4.68307272252492e-12,1.4072070377771795e-11
4.41597843575383e-12,1.3875405861167267e-11
4.0585872910655015e-12,1.4034465721558665e-11
3.710071667107964e-12,1.3157073802437495e-11
3.3691775275154697e-12,1.2617473044396865e-11
3.0598849182182245e-12,1.203783010971904e-11
2.783598617760122e-12,1.165159074043417e-11
2.5501909096846478e-12,1.1041839364572186e-11
2.3220755689191086e-12,1.0589503298851036e-11
1.9251458198314968e-11,2.1638240361664797e-11
1.651370915476763e-11,2.228168837413501e-11
1.3114302593933263e-11,2.589270189526264e-11
1.2100876806624341e-11,3.0453850461526846e-11
1.0523400704763054e-11,3.56108689891137e-11
9.14233271365044e-12,3.137744518721674e-11
7.979376067872502e-12,2.948840315010114e-11
7.088557488562379e-12,2.642138306550931e-11
6.174805258952111e-12,2.1267358380157176e-11
7.0391816067733895e-12,1.3296030720070978e-11
5.95206655247971e-12,1.733790081165324e-11
5.477756308191248e-12,1.8377499339910227e-11
4.9659932333474525e-12,1.5775383877404176e-11
4.440962885602125e-12,1.4175214962992928e-11
3.6944774425082e-12,1.2077060039051821e-11
2.915006501826076e-12,1.0771548033025565e-11
2.2215549489913106e-12,1.0167677694677425e-11
7.101172020068886e-11,5.2888543403700654e-11
6.951086089715638e-11,5.504846205552355e-11
6.599269839983952e-11,6.437376554640002e-11
5.634012521830533e-11,7.679623016429552e-11
4.930415349938919e-11,7.717410629792555e-11
4.782442995843648e-11,8.905589709096336e-11
4.819357329839238e-11,8.827261465469318e-11
5.148022476380528e-11,9.214663266146642e-11
5.537129285837854e-11,8.575225991691046e-11
5.213574414704089e-11,8.0385181311697e-11
4.607630194892134e-11,7.428031170322997e-11
3.8878309402269944e-11,6.741020364426933e-11
3.318688109429314e-11,6.158975593086178e-11
4.784302212088796e-11,6.246632674573862e-11
6.194872824443256e-11,6.227868729277616e-11
6.718559843057574e-11,8.07554605804768e-11
4.614353338621217e-11,7.777106044631026e-11
4.3361680925282966e-11,7.04860864212329e-11
4.095332092338471e-11,7.356117388486575e-11
3.841513811495796e-11,8.163085966616399e-11
2.986241014437619e-11,6.83094812940449e-11
2.3325851753855052e-11,6.363582802633059e-11
1.8670667492717337e-11,5.5501468904616844e-11
1.6358748075452546e-11,5.0925497296203713e-11
1.465933815556608e-11,4.712660152549978e-11
1.3077215531015187e-11,4.392240909120076e-11
1.0798565529861353e-11,4.122524152128503e-11
1.1232389451119199e-11,4.17381225385114e-11
1.4819612662127248e-11,5.244000976340574e-11
1.2108047345601793e-11,5.7394484719689305e-11
9.82402258640877e-12,4.991066409341062e-11
7.743626667709567e-12,4.698639014906028e-11
3.840858993991324e-12,3.8059501755955623e-11
2.0549313084957927e-12,2.869169396227076e-11
2.219347965169417e-10,1.4707654087109694e-10
2.013742345367948e-10,1.6065636298107614e-10
2.0436020540426148e-10,2.514648114592564e-10
2.2205501081825886e-10,2.8838802906210787e-10
2.2991792288235505e-10,2.931218376640927e-10
2.234998747428595e-10,3.070467187759171e-10
2.2360914546479853e-10,3.064033709765165e-10
2.1567994328753638e-10,2.682343684371573e-10
2.0325839800780078e-10,2.5821422161175115e-10
1.863085603570657e-10,2.3170115421411598e-10
1.700798766497856e-10,2.051425238891778e-10
1.5500651226534728e-10,1.898362990200892e-10
1.3436747330826657e-10,1.7544646847833376e-10
1.200086194126342e-10,1.624386630867512e-10
1.1174543724090504e-10,1.4935566332736838e-10
1.0290466166405389e-10,1.3751209691545078e-10
8.986544812833626e-11,1.281498014544618e-10
7.919869984801303e-11,1.1656964504600565e-10
6.90000649213293e-11,1.0952689565780946e-10
6.020026507293168e-11,1.0265924170927993e-10
5.3632885861165746e-11,9.677015266120941e-11
4.807706849724013e-11,9.361920817810404e-11
4.308432008464232e-11,9.307745516784393e-11
3.91613004505342e-11,8.951695714799519e-11
3.5436784091337426e-11,8.501694278077468e-11
3.221670001977974e-11,7.888437891341251e-11
