galaxy,log10_Mb,log10_Vflat
UGC07524,8.982587215984102,1.9028184680822535
UGC07559,7.751960558205983,1.4927603890268375
UGC07577,7.055155392982637,1.2013971243204515
UGC07603,8.192403804116084,1.7993405494535817
UGC07608,8.343516235651379,1.8195439355418688
UGC07690,8.437751917596998,1.7551122663950711
UGC07866,7.617228578221944,1.4857214264815801
UGC08286,8.732782968523122,1.921686475483602
UGC08490,8.942898933280844,1.8915374576725645
UGC08550,8.331104905884596,1.7596678446896306
UGC08699,9.302122606210792,2.258876629372131
UGC08837,8.247658157694158,1.6683859166900001
UGC09037,10.322617756879369,2.184691430817599
UGC09133,10.004750685550166,2.359835482339888
UGC10310,8.876575341990254,1.8597385661971468
UGC11455,9.78507690796709,2.4345689040341987
UGC11557,8.762514866289496,1.911690158753861
UGC11820,8.734005257807118,1.909823369650912
UGC11914,8.503191341710094,2.4533183400470375
UGC12506,10.638628132891272,2.367355921026019
UGC12632,8.930373359288255,1.8636202202703156
UGC12732,9.307762856719005,1.9691828592322616
UGCA442,8.587887207283952,1.7520484478194385
UGCA444,7.872855666974198,1.551449997972875
